ordnance points,min crew,max crew,number,mass,max turn rate,turn acceleration,deceleration,flux dissipation,max speed,armor rating,acceleration,max flux,hitpoints,name,tech/manufacturer,shield type,id,system id,designation,fleet pts,8/6/5/4%,fighter bays,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive
15,5,10,16,160,65,40,60,150,115,225,80,2000,1500,Laminar,Diable Avionics,OMNI,diableavionics_laminar,maneuveringjets,Mining Ship,2,,,,90,0.4,1.1,,,100,40,1,,10,15000,10,30,180,0.2,2,2,CIVILIAN,diable_ship_bp,,0.5,2,2,
45,5,5,17,300,180,220,200,350,120,275,200,4000,2500,Versant,Diable Avionics,FRONT,diableavionics_versant,diableavionics_transit2,Hybrid Wanzer,8,,,,270,0.25,0.8,,,0,0,1,,10,36000,8,25,240,0.2,10,10,,rare_bp,0.5,0.75,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,50,80,19,450,40,30,44,325,85,575,55,4250,4750,Calm,Diable Avionics,OMNI,diableavionics_calm,diableavionics_vortex,Destroyer,9,,0,,75,0.4,1,,,80,50,2,,9,40000,6,14,360,0.15,9,9,,diable_ship_bp,,0.4,2,3,
105,40,70,20,325,60,40,75,425,100,410,120,6250,4100,Hayle,Diable Avionics,OMNI,diableavionics_hayle,diableavionics_flicker,Destroyer,11,,,,90,0.35,0.8,,,50,60,2.5,,9,55000,5,16,300,0.15,11,11,,diable_ship_bp,,0.6,2,3,
65,40,65,25,350,50,30,45,450,90,375,55,5800,3000,Derecho,Diable Avionics,OMNI,diableavionics_derecho,diableavionics_quantumimpulse,ECM Destroyer,10,,,,120,0.4,0.9,,,70,60,2.5,,9,60000,5,20,300,0.15,12,12,,diable_ship_bp,,0.6,2,3,
95,55,65,27,500,40,30,60,325,80,450,60,4500,4250,Pocket Gust,Diable Avionics,OMNI,diableavionics_miniGust,diableavionics_assumeControl,Combat Carrier,10,,1,,60,0.35,1,,,65,55,2.5,,9,50000,4,12,360,0.15,9,9,,diable_ship_bp,,0.5,2,3,
70,50,80,24,550,20,10,25,125,45,400,35,3500,4200,Fractus,Diable Avionics,OMNI,diableavionics_fractus,diableavionics_fastRefit,Combat Carrier,9,,2,,120,0.4,1.1,,,50,35,2,,9,40000,5,15,360,0.15,11,11,CARRIER,diable_ship_bp,,0.4,2,3,
50,30,40,21,550,20,10,15,175,50,400,25,2750,3000,Chinook,Diable Avionics,OMNI,diableavionics_chinook,flarelauncher_active,Tanker,6,,,,120,0.4,1.1,,,30,400,1.75,,9,20000,6,21,240,0.15,6,6,CIVILIAN,diable_ship_bp,,0.7,2,4,
40,30,100,22,500,30,15,25,150,55,350,40,2500,4000,Stratus,Diable Avionics,FRONT,diableavionics_stratus,flarelauncher_active,Freighter,6,,,,70,0.3,1.1,,,250,90,2,,9,25000,4,20,240,0.15,5,5,CIVILIAN,diable_ship_bp,,0.5,2,3,
65,40,80,22,500,30,15,30,200,65,450,50,3500,5000,Stratus (P),Diable Avionics,FRONT,diableavionics_stratus_p,flarelauncher_active,Combat Freighter,6,,,,70,0.3,1.1,,,175,90,2,,9,30000,4,20,300,0.15,5,5,,rare_bp,,0.5,2,3,
40,40,280,23,500,25,10,25,115,45,400,30,1900,4250,Cirrus,Diable Avionics,FRONT,diableavionics_cirrus,flarelauncher_active,Troop Transport,8,,1,,70,0.3,1.1,,,60,100,2,,9,25000,4,20,240,0.15,6,6,"CIVILIAN, CARRIER",diable_ship_bp,,0.5,2,3,
75,30,30,17,500,90,120,50,700,85,450,60,7500,4000,Virtuous,Diable Avionics,FRONT,diableavionics_virtuous_skirmisher,diableavionics_unlockedFlicker,Wunder Wanzer,14,,,,225,0.25,0.8,,,0,0,3,,9,190000,7,21,300,0.2,25,25,HIDE_IN_CODEX,restricted,,0.75,2,2,
100,70,100,22,550,30,25,30,350,65,700,45,4000,5500,Coanda,Diable Avionics,OMNI,diableavionics_coanda,diableavionics_damperwave,Frontline Destroyer,9,,,,60,0.3,1,,,150,90,3,,9,45000,6,12,420,0.15,10,10,,diable_ship_bp,,0.25,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,145,230,27,1500,45,35,40,500,75,750,50,9500,7500,Gust,Diable Avionics,OMNI,diableavionics_gust,diableavionics_assumeControl,Light Cruiser,14,,1,,60,0.35,1,,,120,120,3,,8,120000,4,16,480,0.1,20,20,,"diable_ship_bp,rare_bp",,0.5,2,3,
175,165,190,28,1850,35,25,40,650,65,900,45,10750,10000,Haze,Diable Avionics,FRONT,diableavionics_haze,diableavionics_heavyflicker,Cruiser,15,,,,120,0.4,0.9,,,150,90,3,,8,130000,3,15,420,0.1,25,25,,"diable_ship_bp,rare_bp",,0.6,2,4,
120,255,425,32,1700,20,15,20,580,55,900,30,9000,9000,Storm,Diable Avionics,OMNI,diableavionics_storm,maneuveringjets,Battlecarrier,18,,2,,90,0.35,0.9,,,275,200,4,,8,135000,3,15,480,0.1,25,23,"CARRIER, COMBAT","diable_ship_bp,rare_bp",,0.5,2,4,
200,205,275,30,2175,30,25,30,800,80,1000,40,16000,10000,Gulf,Diable Avionics,OMNI,diableavionics_IBBgulf,diableavionics_fluxredirection,Mod Cruiser,22,,2,,90,0.45,1,,,150,50,3.5,,8,200000,4,16,480,0.1,35,30,HIDE_IN_CODEX,restricted,,0.6,2,3,
155,135,210,28,1950,17,15,20,650,50,1100,25,13000,10000,Daze,Diable Avionics,FRONT,diableavionics_daze,diableavionics_fluxredirection,Cruiser,15,,,,240,0.4,0.8,,,200,120,3,,8,125000,3,12,540,0.1,25,22,,"diable_ship_bp,rare_bp",,0.6,2,4,
70,70,150,29,1750,15,7,15,250,75,600,20,5500,6000,Rime (F),Diable Avionics,OMNI,diableavionics_rime,diableavionics_capacitors,Freighter,10,,1,,150,0.5,1.1,,,600,500,3.5,,8,60000,5,20,360,0.1,10,10,CIVILIAN,diable_ship_bp,,0.5,2,3,
90,70,150,29,1750,20,10,25,300,75,600,35,6000,6000,Rime (P),Diable Avionics,OMNI,diableavionics_rime_p,microburn,Q ship,10,,0,,150,0.5,1.1,,,400,150,3.5,,9,70000,5,20,420,0.1,14,14,,rare_bp,,0.5,2,3,
110,170,250,292,1750,20,10,25,400,95,600,35,7000,6000,Rime,Diable Avionics,OMNI,diableavionics_rime_m,diableavionics_capacitors,Recon Cruiser,12,,2,,150,0.4,1,,,175,125,3.5,,9,90000,4,16,480,0.1,16,16,,diable_ship_bp,,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,430,550,33,3250,8,6,23,1250,55,1100,30,18000,13000,Maelstrom,Diable Avionics,FRONT,diableavionics_maelstrom,diableavionics_drift,Battlecruiser,26,,2,,90,0.4,1,,,325,300,10,,8,325000,2.5,15,660,0.075,42,40,,rare_bp,,0.6,2,4,
375,550,750,34,5050,4,2,8,1500,30,1300,12,22000,20000,Pandemonium(Assault),Diable Avionics,FRONT,diableavionics_pandemonium,diableavionics_drift,Dreadnought,35,,3,,90,0.5,1,,,550,400,11,,7,525000,2,25,720,0.075,75,75,,rare_bp,0.1,0.75,3,5,
375,550,750,34,5050,4,2,8,1500,30,1300,12,22000,20000,Pandemonium(Artillery),Diable Avionics,FRONT,diableavionics_pandemonium_large,diableavionics_drift,Dreadnought,35,,3,,90,0.5,1,,,550,400,11,,7,525000,2,25,720,0.075,75,75,,rare_bp,0.1,0.75,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,# STATION STUFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,2002.1,5000,4,2,200,100,30,1600,200,1000,40000,Orbital Station,Diable Avionics,NONE,diableavionics_station_tier1,,Orbital Station,100,,,,0,0,0,,,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
0,0,0,2003.5,5000,4,2,200,100,30,2000,200,1000,80000,Battlestation,Diable Avionics,NONE,diableavionics_station_tier2,,Battlestation,200,,,,0,0,0,,,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
0,0,0,2004.,5000,4,2,200,100,30,2400,200,1000,160000,Star Fortress,Diable Avionics,NONE,diableavionics_station_tier3,,Star Fortress,400,,,,0,0,0,,,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
0,0,0,2004.,5000,4,2,200,100,30,2400,200,1000,160000,Diable Classic Station,Diable Avionics,NONE,diableavionics_station_classic_hull,,Star Fortress,400,,,,0,0,0,,,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,
,,,,,,,,,,,,,,# tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,2067,3500,10,10,0,800,0,1250,0,12000,10000,,Diable Avionics,NONE,diableavionics_module_lightAttack,forgevats_station,Light Attack Module,1,,,,90,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
1000,0,0,2068,3500,10,10,0,200,0,1250,0,4000,8000,,Diable Avionics,NONE,diableavionics_module_defense,forgevats_station,Defense Module,1,,,,120,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
1000,0,0,2069,2500,10,10,0,400,0,1250,0,8000,10000,,Diable Avionics,NONE,diableavionics_module_fighter,forgevats_station,Fighter Support Module,1,,3,,100,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
,,,,,,,,,,,,,,# tier 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,2067,3500,10,10,0,1000,0,1250,0,10000,10000,,Diable Avionics,NONE,diableavionics_module_attack,forgevats_station,Attack Module,1,,,,90,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
1000,0,0,2068,3500,10,10,0,600,0,1250,0,16000,15000,,Diable Avionics,FRONT,diableavionics_module_missile,forgevats_station,Missile Module,1,,2,,120,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
,,,,,,,,,,,,,,# tier 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0,0,2069,2500,10,10,0,600,0,1250,0,12000,10000,,Diable Avionics,NONE,diableavionics_module_ecm,diableavionics_quantumimpulse,ECM Module,1,,0,,100,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
1000,0,0,2068,3500,10,10,0,600,0,1250,0,16000,15000,,Diable Avionics,FRONT,diableavionics_module_wanzer,forgevats_station,Wanzer Facility Module,1,,4,,120,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,
1000,0,0,2070,240,10,10,0,300,0,1250,0,9000,7500,,Diable Avionics,FRONT,diableavionics_module_tip,forgevats_station,Support Module,1,,,,120,0.4,1,,,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
1000,,,4,125,10,5,50,50,50,100,10,50,1000,Deep Strike Pod,,NONE,diableavionics_deepStrike,,,,,2,,,2,2,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,,,,
